"game_id","match_id","game_nbr","score_w","score_l","w_team_id","l_team_id","vod_url","skill_lvl","det_user","maint_dtm","maint_app","create_dtm","create_app"
G1,M1,1,12,10,T2,T1,https://youtu.be/r_35A7D1CQc?t=26520,Pro,aspancake,2022-08-21 16:57:06.721 -0400,postgres,2022-08-21 16:57:06.721 -0400,postgres
G2,M1,2,11,7,T1,T2,https://youtu.be/r_35A7D1CQc?t=28205,Pro,aspancake,2022-08-21 16:57:06.721 -0400,postgres,2022-08-21 16:57:06.721 -0400,postgres
G3,M1,3,11,8,T2,T1,https://youtu.be/r_35A7D1CQc?t=29693,Pro,aspancake,2022-08-21 16:57:06.721 -0400,postgres,2022-08-21 16:57:06.721 -0400,postgres
G4,M2,1,11,8,T3,T2,https://youtu.be/yLAuSzRr9ls,Pro,aspancake,2022-08-21 16:57:06.721 -0400,postgres,2022-08-21 16:57:06.721 -0400,postgres
G5,M2,2,11,3,T2,T3,https://youtu.be/yLAuSzRr9ls,Pro,aspancake,2022-08-21 16:57:06.721 -0400,postgres,2022-08-21 16:57:06.721 -0400,postgres
G6,M2,3,11,7,T2,T3,https://youtu.be/yLAuSzRr9ls,Pro,aspancake,2022-08-21 16:57:06.721 -0400,postgres,2022-08-21 16:57:06.721 -0400,postgres
G8,M4,2,11,9,T5,T4,https://youtu.be/Gqq8hBZtghs?t=975,Pro,aspancake,2022-08-21 16:57:06.721 -0400,postgres,2022-08-21 16:57:06.721 -0400,postgres
G9,M4,3,11,8,T5,T4,https://youtu.be/Gqq8hBZtghs?t=2192,Pro,aspancake,2022-08-21 16:57:06.721 -0400,postgres,2022-08-21 16:57:06.721 -0400,postgres
G10,M4,4,11,2,T5,T4,https://youtu.be/Gqq8hBZtghs?t=3520,Pro,aspancake,2022-08-21 16:57:06.721 -0400,postgres,2022-08-21 16:57:06.721 -0400,postgres
G7,M4,1,11,8,T4,T5,https://youtu.be/Gqq8hBZtghs,Pro,aspancake,2022-08-21 16:57:06.721 -0400,postgres,2022-08-21 16:57:06.721 -0400,postgres
G11,M5,1,11,5,T5,T6,https://youtu.be/oWhZ094GWCU,Pro,aspancake,2022-08-21 16:57:06.721 -0400,postgres,2022-08-21 16:57:06.721 -0400,postgres
G12,M5,2,11,6,T5,T6,https://youtu.be/oWhZ094GWCU?t=1143,Pro,aspancake,2022-08-21 16:57:06.721 -0400,postgres,2022-08-21 16:57:06.721 -0400,postgres
G13,M6,1,11,8,T5,T7,https://youtu.be/TF81Zz1k26I?t=11704,Pro,aspancake,2022-08-21 16:57:06.721 -0400,postgres,2022-08-21 16:57:06.721 -0400,postgres
G14,M7,1,11,5,T9,T8,https://youtu.be/f_UBwV5uZxo?t=36298,Pro,aspancake,2022-08-21 16:57:06.721 -0400,postgres,2022-08-21 16:57:06.721 -0400,postgres
G15,M7,2,11,6,T9,T8,https://youtu.be/f_UBwV5uZxo?t=37321,Pro,aspancake,2022-08-21 16:57:06.721 -0400,postgres,2022-08-21 16:57:06.721 -0400,postgres
G16,M8,1,12,10,T10,T4,https://www.youtube.com/watch?v=MCHe0W5AL-M&ab_channel=PPATour-ProfessionalPickleballAssociation,Pro,aspancake,2022-08-21 16:57:06.721 -0400,postgres,2022-08-21 16:57:06.721 -0400,postgres
G18,M10,1,11,6,T13,T14,https://www.youtube.com/watch?v=f_UBwV5uZxo,Pro,aspancake,2022-08-21 16:57:06.721 -0400,postgres,2022-08-21 16:57:06.721 -0400,postgres
G19,M11,1,12,10,T16,T15,https://www.youtube.com/embed/zIsj_bdapgk,Pro,aspancake,2022-08-21 16:57:06.721 -0400,postgres,2022-08-21 16:57:06.721 -0400,postgres
G20,M12,1,16,12,T17,T18,https://www.youtube.com/embed/RrjyQkjeESc?start=2700,Pro,aspancake,2022-08-21 16:57:06.721 -0400,postgres,2022-08-21 16:57:06.721 -0400,postgres
G21,M12,2,12,12,T18,T17,nan,Pro,aspancake,2022-08-21 16:57:06.721 -0400,postgres,2022-08-21 16:57:06.721 -0400,postgres
G17,M9,1,15,12,T11,T12,https://www.youtube.com/embed/qKl1pc99_Ms,"5.0",aspancake,2022-08-21 16:57:06.721 -0400,postgres,2022-08-21 16:57:06.721 -0400,postgres
G22,M13,1,11,7,T3,T19,https://youtu.be/MCHe0W5AL-M?t=10696,Pro,aspancak,2022-08-21 21:11:50.681 -0400,postgres,2022-08-21 21:11:50.681 -0400,postgres
G23,M14,1,17,12,T21,T20,https://www.youtube.com/watch?v=zDgby2rjYyk&t=801s,Pro,aspancake,2022-08-29 18:54:30.003 -0400,postgres,2022-08-29 18:54:30.003 -0400,postgres
