"match_id","tourn_id","consol_ind","team_id_1","team_id_2","maint_dtm","maint_app","create_dtm","create_app"
M1,T1,N,T1,T2,2022-04-08 23:19:33.840 -0400,postgres,2022-04-08 23:19:33.840 -0400,postgres
M2,T2,N,T2,T3,2022-05-25 20:45:11.301 -0400,postgres,2022-05-25 20:45:11.301 -0400,postgres
M5,T5,N,T6,T5,2022-06-27 20:40:22.948 -0400,postgres,2022-06-27 20:40:22.948 -0400,postgres
M6,T6,N,T5,T7,2022-07-07 19:01:45.921 -0400,postgres,2022-07-07 19:01:45.921 -0400,postgres
M7,T7,N,T8,T9,2022-07-10 22:40:50.597 -0400,postgres,2022-07-10 22:40:50.597 -0400,postgres
M8,T4,N,T10,T4,2022-08-02 16:35:58.875 -0400,postgres,2022-08-02 16:35:58.875 -0400,postgres
M9,T8,Y,T11,T12,2022-08-02 23:15:49.034 -0400,postgres,2022-08-02 23:15:49.034 -0400,postgres
M10,T7,N,T13,T14,2022-08-07 23:10:56.817 -0400,postgres,2022-08-07 23:10:56.817 -0400,postgres
M11,T9,N,T15,T16,2022-08-14 20:54:02.956 -0400,postgres,2022-08-14 20:54:02.956 -0400,postgres
M12,T10,N,T17,T18,2022-08-14 22:15:40.900 -0400,postgres,2022-08-14 22:15:40.900 -0400,postgres
M13,T4,N,T19,T3,2022-08-21 19:41:00.095 -0400,postgres,2022-08-21 19:41:00.095 -0400,postgres
M4,T4,N,T4,T5,2022-06-20 15:06:21.630 -0400,postgres,2022-06-20 15:06:21.630 -0400,postgres
M14,T11,N,T20,T21,2022-08-29 18:54:30.000 -0400,postgres,2022-08-29 18:54:30.000 -0400,postgres
M15,T12,N,T22,T23,2022-08-30 21:55:18.187 -0400,postgres,2022-08-30 21:55:18.187 -0400,postgres
M16,T13,Y,T24,T12,2022-09-09 13:20:52.878 -0400,postgres,2022-09-09 13:20:52.878 -0400,postgres
M17,T14,N,T25,T26,2022-09-11 15:28:43.014 -0400,postgres,2022-09-11 15:28:43.014 -0400,postgres
M18,T13,N,T12,T27,2022-09-11 15:40:31.489 -0400,postgres,2022-09-11 15:40:31.489 -0400,postgres
M19,T15,N,T28,T29,2022-09-22 23:01:15.376 -0400,postgres,2022-09-22 23:01:15.376 -0400,postgres
M20,T16,N,T30,T31,2022-09-22 23:03:50.054 -0400,postgres,2022-09-22 23:03:50.054 -0400,postgres
M21,T17,Y,T32,T33,2022-09-25 17:44:31.811 -0400,postgres,2022-09-25 17:44:31.811 -0400,postgres
M22,T18,Y,T34,T35,2022-10-03 23:31:19.608 -0400,postgres,2022-10-03 23:31:19.608 -0400,postgres
M23,T19,N,T36,T37,2022-10-04 22:00:45.403 -0400,postgres,2022-10-04 22:00:45.403 -0400,postgres
M24,T20,N,T32,T38,2022-10-16 15:22:34.945 -0400,postgres,2022-10-16 15:22:34.945 -0400,postgres
M25,T20,N,T39,T40,2022-10-20 18:42:52.079 -0400,postgres,2022-10-20 18:42:52.079 -0400,postgres
