"shot_id","rally_id","shot_nbr","shot_type_orig","shot_type","entry_ts","btt_before","btt_after","loc_x","loc_y","next_loc_x","next_loc_y","model_id","maint_dtm","maint_app","create_dtm","create_app"
S1,R1,1,SE,SE,,,,,,,,,2022-07-30 17:41:10.918 -0400,aspancak,2022-04-08 23:19:33.871 -0400,postgres
S2,R1,2,R,R,,,,,,,,,2022-07-30 17:41:10.918 -0400,aspancak,2022-04-08 23:19:33.872 -0400,postgres
S3,R1,3,tsDrv,tsDrv,,,,,,,,,2022-07-30 17:41:10.918 -0400,aspancak,2022-04-08 23:19:33.872 -0400,postgres
S4,R1,4,O,,,,,,,,,,2022-04-08 23:19:33.873 -0400,postgres,2022-04-08 23:19:33.873 -0400,postgres
S5,R1,5,O,,,,,,,,,,2022-04-08 23:19:33.873 -0400,postgres,2022-04-08 23:19:33.873 -0400,postgres
S80,R10,1,SE,SE,,,,,,,,,2022-07-30 17:41:10.918 -0400,aspancak,2022-04-08 23:19:33.902 -0400,postgres
S81,R10,2,R,R,,,,,,,,,2022-07-30 17:41:10.918 -0400,aspancak,2022-04-08 23:19:33.903 -0400,postgres
S82,R10,3,tsDrp,tsDrp,,,,,,,,,2022-07-30 17:41:10.918 -0400,aspancak,2022-04-08 23:19:33.903 -0400,postgres
S83,R10,4,O,,,,,,,,,,2022-04-08 23:19:33.903 -0400,postgres,2022-04-08 23:19:33.903 -0400,postgres
S84,R10,5,D,D,,,,,,,,,2022-07-30 17:41:10.918 -0400,aspancak,2022-04-08 23:19:33.904 -0400,postgres
S1060,R100,1,SE,SE,,,,,,,,,2022-07-30 17:41:10.918 -0400,aspancak,2022-04-09 11:00:42.903 -0400,postgres
S1061,R100,2,R,R,,,,,,,,,2022-07-30 17:41:10.918 -0400,aspancak,2022-04-09 11:00:42.904 -0400,postgres
S1062,R100,3,tsDrp,tsDrp,,,,,,,,,2022-07-30 17:41:10.918 -0400,aspancak,2022-04-09 11:00:42.904 -0400,postgres
S1063,R100,4,O,,,,,,,,,,2022-04-09 11:00:42.904 -0400,postgres,2022-04-09 11:00:42.904 -0400,postgres
S1064,R100,5,O,,,,,,,,,,2022-04-09 11:00:42.905 -0400,postgres,2022-04-09 11:00:42.905 -0400,postgres
