"team_id","player_id","player_seq_nbr","team_nm","maint_dtm","maint_app","create_dtm","create_app"
T1,P1,1,Jesse Irvine & Catherine Parenteau,2022-04-08 23:19:33.836 -0400,postgres,2022-04-08 23:19:33.836 -0400,postgres
T1,P2,2,Jesse Irvine & Catherine Parenteau,2022-04-08 23:19:33.839 -0400,postgres,2022-04-08 23:19:33.839 -0400,postgres
T2,P3,1,Anna Leigh Waters & Leigh Waters,2022-04-08 23:19:33.839 -0400,postgres,2022-04-08 23:19:33.839 -0400,postgres
T2,P4,2,Anna Leigh Waters & Leigh Waters,2022-04-08 23:19:33.840 -0400,postgres,2022-04-08 23:19:33.840 -0400,postgres
T3,P5,1,Lea Jansen & Catherine Parenteau,2022-05-25 20:45:11.298 -0400,postgres,2022-05-25 20:45:11.298 -0400,postgres
T3,P2,2,Lea Jansen & Catherine Parenteau,2022-05-25 20:45:11.301 -0400,postgres,2022-05-25 20:45:11.301 -0400,postgres
T4,P6,1,Tyler Loong & Tyson McGuffin,2022-06-20 15:06:21.620 -0400,postgres,2022-06-20 15:06:21.620 -0400,postgres
T4,P7,2,Tyler Loong & Tyson McGuffin,2022-06-20 15:06:21.628 -0400,postgres,2022-06-20 15:06:21.628 -0400,postgres
T5,P8,1,Matt Wright & Riley Newman,2022-06-20 15:06:21.628 -0400,postgres,2022-06-20 15:06:21.628 -0400,postgres
T5,P9,2,Matt Wright & Riley Newman,2022-06-20 15:06:21.629 -0400,postgres,2022-06-20 15:06:21.629 -0400,postgres
T6,P10,1,Wyatt Stone & Hayden Patriquin,2022-06-27 20:40:22.942 -0400,postgres,2022-06-27 20:40:22.942 -0400,postgres
T6,P11,2,Wyatt Stone & Hayden Patriquin,2022-06-27 20:40:22.948 -0400,postgres,2022-06-27 20:40:22.948 -0400,postgres
T7,P12,1,Thomas Wilson & AJ Koller,2022-07-07 19:01:45.913 -0400,postgres,2022-07-07 19:01:45.913 -0400,postgres
T7,P13,2,Thomas Wilson & AJ Koller,2022-07-07 19:01:45.921 -0400,postgres,2022-07-07 19:01:45.921 -0400,postgres
T8,P14,1,Allyce Jones & Meghan Sheehan-Dizon,2022-07-10 22:40:50.591 -0400,postgres,2022-07-10 22:40:50.591 -0400,postgres
