,pctile,Doubles,Singles,Doubles w/ Singles,Men Doubles,Women Doubles,Men Singles,Women Singles,Men Doubles w/ Singles,Women Doubles w/ Singles
0,0.0,2.0,2.422,2.0,2.127,2.0,2.655,2.422,2.259,2.0
1,0.01,2.138,2.655,2.259,2.325,2.0,2.68,2.422,2.515,2.0
2,0.02,2.277,2.719,2.424,2.395,2.135,2.745,2.719,2.59,2.0
3,0.03,2.392,2.745,2.59,2.515,2.197,2.872,2.719,2.759,2.424
4,0.04,2.47,2.872,2.737,2.59,2.299,2.934,2.719,2.845,2.424
5,0.05,2.492,2.988,2.759,2.665,2.405,2.988,2.719,2.92,2.424
6,0.06,2.542,3.017,2.784,2.7,2.448,3.017,3.083,2.926,2.737
7,0.07,2.59,3.083,2.92,2.745,2.47,3.097,3.083,2.959,2.737
8,0.08,2.622,3.097,2.926,2.772,2.491,3.176,3.083,3.019,2.737
9,0.09,2.666,3.147,2.959,2.841,2.501,3.18,3.147,3.045,2.737
10,0.1,2.707,3.165,3.019,2.871,2.56,3.216,3.147,3.067,2.737
11,0.11,2.732,3.176,3.045,2.906,2.578,3.229,3.147,3.092,2.784
12,0.12,2.745,3.176,3.068,2.926,2.593,3.291,3.147,3.195,2.784
13,0.13,2.767,3.197,3.092,2.959,2.617,3.293,3.159,3.195,2.784
14,0.14,2.809,3.216,3.176,3.01,2.666,3.295,3.159,3.253,3.068
15,0.15,2.827,3.291,3.195,3.037,2.7,3.303,3.159,3.344,3.068
16,0.16,2.868,3.293,3.344,3.065,2.718,3.307,3.159,3.378,3.068
17,0.17,2.899,3.295,3.378,3.085,2.73,3.324,3.165,3.384,3.068
18,0.18,2.925,3.307,3.379,3.105,2.737,3.324,3.165,3.4,3.068
19,0.19,2.959,3.324,3.384,3.121,2.75,3.388,3.165,3.413,3.176
20,0.2,2.983,3.324,3.4,3.133,2.763,3.389,3.176,3.432,3.176
21,0.21,2.998,3.37,3.432,3.16,2.78,3.418,3.176,3.442,3.176
22,0.22,3.02,3.388,3.442,3.179,2.811,3.427,3.176,3.455,3.379
23,0.23,3.049,3.418,3.442,3.203,2.82,3.43,3.176,3.458,3.379
