team_id,team_nm,GP,gameWpct,TO,TOperGame,TOboost_adj,TOboost,TOboost_srv,TOboost_ret,toscore,toscore_adj
T15,Vivienne David & Lauren Stratman,1,0.0,2,2.0,26.4,25.7,19.8,33.6,46,47
T261,Sunny Buttar & Brett Forsythe,1,0.0,2,2.0,10.2,11.9,31.4,9.0,36,36
T34,Collin Johns & Dekel Bar,1,0.0,2,2.0,6.1,6.6,-16.7,33.4,33,33
T358,Chris Mills Miller & Stefan Andren,1,0.0,2,2.0,4.2,4.6,15.0,-4.1,31,32
T137,Anna Bright & Vivian Glozman,2,0.0,4,2.0,-2.5,0.2,-17.5,1.8,28,26
T570,Megan Fudge & Andrei Daescu,1,0.0,2,2.0,-1.3,-1.2,-10.0,2.8,27,28
T25,Paul Olin & Dave Fleming,2,0.0,4,2.0,-12.7,-11.6,52.6,-11.2,12,12
T108,Allyce Jones & Lea Jansen,7,28.6,13,1.9,13.2,13.2,28.8,9.8,87,86
T77,Lauren Stratman & Julian Arnold,4,25.0,7,1.8,7.7,7.4,-2.1,16.8,46,47
T8,Allyce Jones & Meghan Sheehan-Dizon,2,0.0,3,1.5,16.3,15.4,5.2,29.0,44,45
T109,Lea Jansen & Jackie Kawamoto,4,25.0,6,1.5,7.0,6.9,17.7,8.6,42,43
T107,Meghan Sheehan-Dizon & Etta Wright,2,0.0,3,1.5,0.9,1.3,16.6,3.4,30,30
T279,Meghan Sheehan-Dizon & Anna Bright,2,0.0,3,1.5,-6.8,-4.8,16.6,-14.2,23,22
T280,Callie Smith & Dylan Frazier,2,0.0,3,1.5,-19.6,-16.7,-31.4,-9.8,11,9
T116,Richard Livornese Jr & Frank Anthony Davis,3,33.3,4,1.3,3.8,3.9,20.4,-0.1,34,34
T101,Lucy Kovalova & Callie Smith,3,0.0,4,1.3,-4.5,-3.3,30.0,-7.2,24,23
T72,Jessie Irvine & Jackie Kawamoto,4,25.0,5,1.2,27.1,25.5,27.6,19.3,72,74
T250,Jade Kawamoto & Jackie Kawamoto,5,60.0,6,1.2,18.8,17.4,4.2,25.4,64,67
T3,Lea Jansen & Catherine Parenteau,4,50.0,5,1.2,11.4,10.7,17.1,-10.5,47,48
T4,Tyler Loong & Tyson McGuffin,5,20.0,6,1.2,-3.5,-2.3,0.9,-10.6,23,22
T262,Haddow Thul & Joel Pelletier,1,100.0,1,1.0,69.4,66.7,75.0,60.0,51,52
T18,Collin Johns & AJ Koller,2,50.0,2,1.0,43.0,38.6,35.9,44.4,55,58
