team_id,team_nm,GP,gameWpct,TO,TOperGame,TOboost_adj,TOboost,TOboost_srv,TOboost_ret
T108,Allyce Jones & Lea Jansen,7,28.6,13,1.9,13.2,13.2,28.8,9.8
T65,Anna Leigh Waters & Catherine Parenteau,23,91.3,10,0.4,14.4,14.8,9.6,24.6
T2,Anna Leigh Waters & Leigh Waters,13,69.2,9,0.7,9.1,9.6,12.1,6.6
T71,Anna Leigh Waters & Anna Bright,20,90.0,9,0.4,23.5,23.1,16.5,36.0
T67,Anna Leigh Waters & Ben Johns,14,64.3,8,0.6,1.7,1.7,1.1,6.3
T77,Lauren Stratman & Julian Arnold,4,25.0,7,1.8,7.7,7.4,-2.1,16.8
T151,Parris Todd & Catherine Parenteau,8,62.5,7,0.9,13.1,13.2,21.5,13.5
T132,Anna Bright & James Ignatowich,12,33.3,7,0.6,8.7,7.7,10.1,8.0
T109,Lea Jansen & Jackie Kawamoto,4,25.0,6,1.5,7.0,6.9,17.7,8.6
T250,Jade Kawamoto & Jackie Kawamoto,5,60.0,6,1.2,18.8,17.4,4.2,25.4
T4,Tyler Loong & Tyson McGuffin,5,20.0,6,1.2,-3.5,-2.3,0.9,-10.6
T72,Jessie Irvine & Jackie Kawamoto,4,25.0,5,1.2,27.0,25.5,27.6,19.3
T3,Lea Jansen & Catherine Parenteau,4,50.0,5,1.2,11.4,10.7,17.1,-10.5
T397,Mike Hamberg & Armando Ocando,6,66.7,5,0.8,5.7,5.3,-4.6,13.2
T137,Anna Bright & Vivian Glozman,2,0.0,4,2.0,-2.5,0.2,-17.5,1.8
T25,Paul Olin & Dave Fleming,2,0.0,4,2.0,-12.7,-11.6,52.6,-11.2
T152,Cynthia McPherson & Proposal Velardo,3,66.7,4,1.3,13.8,13.7,10.1,16.4
T116,Richard Livornese Jr & Frank Anthony Davis,3,33.3,4,1.3,3.9,3.9,20.4,-0.1
T101,Lucy Kovalova & Callie Smith,3,0.0,4,1.3,-4.5,-3.3,30.0,-7.2
T38,Mike Strain & Payton Noyes,3,66.7,4,1.3,-12.2,-11.2,12.2,-24.5
T69,AJ Koller & Dekel Bar,4,50.0,4,1.0,-5.0,-3.5,18.3,-8.3
T40,Ryan Kane & Brandon Ward,5,60.0,4,0.8,12.6,12.0,24.1,-2.2
