game_id,skill_lvl,to_nbr,to_team,game_nbr,prewin,postwin,deltawin,prewinsrv,postwinsrv,deltawinsrv,prewinrcv,postwinrcv,deltawinrcv
28,Pro,2,T25,49,63.6,0.0,-63.6,71.4,,,50.0,0.0,-50.0
89,Pro,2,T67,40,51.9,0.0,-51.9,42.9,,,61.5,0.0,-61.5
23,Pro,2,T21,68,50.9,0.0,-50.9,42.9,0.0,-42.9,59.3,,
150,Pro,3,T109,42,50.0,0.0,-50.0,33.3,,,66.7,0.0,-66.7
30,Senior Pro,1,T25,20,47.4,0.0,-47.4,55.6,,,40.0,0.0,-40.0
313,4.5,1,T272,55,46.3,0.0,-46.3,26.9,,,64.3,0.0,-64.3
12,Pro,1,T6,40,46.2,0.0,-46.2,33.3,,,57.1,0.0,-57.1
113,Pro,1,T86,27,46.2,0.0,-46.2,50.0,,,42.9,0.0,-42.9
151,Pro,2,T108,33,45.5,0.0,-45.5,33.3,,,53.8,0.0,-53.8
299,4.5,1,T255,39,44.7,0.0,-44.7,38.9,,,50.0,0.0,-50.0
292,Pro,4,T151,55,44.4,0.0,-44.4,25.0,,,60.0,0.0,-60.0
141,Pro,2,T107,26,43.8,0.0,-43.8,33.3,,,50.0,0.0,-50.0
194,Pro,2,T69,39,43.8,0.0,-43.8,42.9,,,44.4,0.0,-44.4
415,5.0,1,T355,31,43.3,0.0,-43.3,38.5,,,47.1,0.0,-47.1
616,5.5,1,T472,31,43.3,0.0,-43.3,46.2,,,41.2,0.0,-41.2
400,Pro,1,T349,38,43.2,0.0,-43.2,29.4,,,55.0,0.0,-55.0
38,5.0,2,T38,45,42.9,0.0,-42.9,33.3,,,50.0,0.0,-50.0
95,Pro,3,T71,36,42.9,0.0,-42.9,33.3,,,50.0,0.0,-50.0
85,Pro,1,T66,22,42.9,0.0,-42.9,33.3,,,50.0,0.0,-50.0
149,Pro,1,T108,27,42.3,0.0,-42.3,33.3,,,50.0,0.0,-50.0
127,Pro,1,T95,32,41.9,0.0,-41.9,21.4,,,58.8,0.0,-58.8
321,Pro,3,T280,44,40.0,0.0,-40.0,33.3,,,42.9,0.0,-42.9
567,4.5,3,T455,60,37.5,0.0,-37.5,20.0,,,66.7,0.0,-66.7
672,3.5,2,T522,47,37.5,0.0,-37.5,16.7,,,50.0,0.0,-50.0
166,Pro,2,T104,60,35.3,0.0,-35.3,14.3,,,50.0,0.0,-50.0
58,Pro,2,T46,40,33.3,0.0,-33.3,0.0,,,50.0,0.0,-50.0
254,Pro,2,T213,41,33.3,0.0,-33.3,20.0,,,42.9,0.0,-42.9
566,4.5,2,T454,35,33.3,0.0,-33.3,33.3,,,33.3,0.0,-33.3
160,Senior Pro,1,T111,19,77.8,46.7,-31.1,69.2,42.9,-26.3,100.0,50.0,-50.0
218,5.0,2,T166,50,50.0,20.0,-30.0,50.0,,,,20.0,
1,Pro,4,T1,61,30.0,0.0,-30.0,20.0,,,40.0,0.0,-40.0
165,Pro,1,T104,67,50.0,20.0,-30.0,40.6,33.3,-7.3,58.8,0.0,-58.8
138,Pro,1,T106,50,49.0,20.0,-29.0,30.4,0.0,-30.4,65.4,33.3,-32.1
384,4.0,1,T327,59,48.3,20.0,-28.3,39.3,0.0,-39.3,56.7,33.3,-23.4
187,Pro,2,T137,31,44.4,16.7,-27.7,60.0,0.0,-60.0,25.0,25.0,0.0
74,4.0,1,T58,16,26.7,0.0,-26.7,25.0,,,27.3,0.0,-27.3
500,5.0,1,T397,42,46.3,20.0,-26.3,31.6,0.0,-31.6,59.1,33.3,-25.8
397,4.0,1,T337,27,69.2,42.9,-26.3,52.9,33.3,-19.6,100.0,50.0,-50.0
5,Pro,1,T3,27,46.2,20.0,-26.2,25.0,0.0,-25.0,64.3,25.0,-39.3
470,Pro,2,T67,53,54.2,28.6,-25.6,50.0,0.0,-50.0,58.3,40.0,-18.3
329,3.5,1,T290,40,53.8,28.6,-25.2,45.0,0.0,-45.0,63.2,50.0,-13.2
132,Pro,2,T101,28,25.0,0.0,-25.0,,,,25.0,0.0,-25.0
